#elems=864
#nodes=473

#map
         1         1         2         3
         2         1         3         4
         3         1         4         5
         4         4         3         6
         5         4         6         7
         6         5         4         8
         7         7         6         9
         8         7         9        10
         9        10         9        11
        10         4         7        12
        11        10        11        13
        12         5         8        14
        13        13        11        15
        14         7        10        16
        15         4        12         8
        16        13        15        17
        17        12         7        16
        18        17        15        18
        19        14         8        19
        20        10        13        20
        21        17        18        21
        22        16        10        20
        23        21        18        22
        24         8        12        23
        25        13        17        24
        26        21        22        25
        27        12        16        23
        28        14        19        26
        29        20        13        24
        30        25        22        27
        31        17        21        28
        32         8        23        19
        33        25        27        29
        34        16        20        30
        35        24        17        28
        36        23        16        31
        37        29        27        32
        38        21        25        33
        39        26        19        34
        40        20        24        35
        41        29        32        36
        42        16        30        31
        43        28        21        33
        44        36        32        37
        45        19        23        38
        46        25        29        39
        47        30        20        35
        48        24        28        40
        49        36        37        41
        50        23        31        38
        51        33        25        39
        52        26        34        42
        53        41        37        43
        54        35        24        40
        55        29        36        44
        56        28        33        45
        57        31        30        46
        58        41        43        47
        59        19        38        34
        60        30        35        46
        61        39        29        44
        62        40        28        45
        63        47        43        48
        64        36        41        49
        65        38        31        50
        66        33        39        51
        67        42        34        52
        68        47        48        53
        69        35        40        54
        70        44        36        49
        71        31        46        50
        72        45        33        51
        73        53        48        55
        74        41        47        56
        75        46        35        54
        76        34        38        57
        77        39        44        58
        78        40        45        59
        79        53        55        60
        80        49        41        56
        81        38        50        57
        82        51        39        58
        83        42        52        61
        84        60        55        62
        85        47        53        63
        86        54        40        59
        87        44        49        64
        88        45        51        65
        89        50        46        66
        90        60        62        67
        91        56        47        63
        92        46        54        68
        93        34        57        52
        94        58        44        64
        95        67        62        69
        96        59        45        65
        97        53        60        70
        98        49        56        71
        99        57        50        72
       100        51        58        73
       101        61        52        74
       102        67        69        75
       103        66        46        68
       104        63        53        70
       105        54        59        76
       106        64        49        71
       107        50        66        72
       108        65        51        73
       109        75        69        77
       110        60        67        78
       111        56        63        79
       112        52        57        80
       113        68        54        76
       114        58        64        81
       115        75        77        82
       116        59        65        83
       117        70        60        78
       118        71        56        79
       119        57        72        80
       120        73        58        81
       121        61        74        84
       122        82        77        85
       123        67        75        86
       124        63        70        87
       125        66        68        88
       126        76        59        83
       127        64        71        89
       128        72        66        88
       129        65        73        90
       130        82        85        91
       131        78        67        86
       132        52        80        74
       133        79        63        87
       134        68        76        92
       135        81        64        89
       136        91        85        93
       137        75        82        94
       138        83        65        90
       139        70        78        95
       140        71        79        96
       141        80        72        97
       142        84        74        98
       143        73        81        99
       144        91        93       100
       145        88        68        92
       146        86        75        94
       147        87        70        95
       148        76        83       101
       149        89        71        96
       150        72        88        97
       151       100        93       102
       152        90        73        99
       153        82        91       103
       154        78        86       104
       155        74        80       105
       156        79        87       106
       157        92        76       101
       158        81        89       107
       159       100       102       108
       160       108       102       109
       161        94        82       103
       162        83        90       110
       163        95        78       104
       164        96        79       106
       165        80        97       105
       166        84        98       111
       167        99        81       107
       168       109       112       108
       169        91       100       113
       170        86        94       114
       171        88        92       115
       172        87        95       116
       173       101        83       110
       174        89        96       117
       175        97        88       118
       176       112       119       108
       177        90        99       120
       178       103        91       113
       179       100       108       119
       180       104        86       114
       181        74       105        98
       182       106        87       116
       183        92       101       121
       184       107        89       117
       185       112       122       119
       186        94       103       123
       187       110        90       120
       188        95       104       124
       189       100       119       113
       190        96       106       125
       191        88       115       118
       192       111        98       126
       193       105        97       127
       194        99       107       128
       195       115        92       121
       196       114        94       123
       197       119       122       129
       198       101       110       130
       199       116        95       124
       200       117        96       125
       201        97       118       127
       202       129       122       131
       203       120        99       128
       204       103       113       132
       205        98       105       133
       206       104       114       134
       207       113       119       135
       208       106       116       136
       209       119       129       135
       210       121       101       130
       211       107       117       137
       212       129       131       138
       213       123       103       132
       214       110       120       139
       215       124       104       134
       216       125       106       136
       217       111       126       140
       218       118       115       141
       219       105       127       133
       220       113       135       132
       221       128       107       137
       222       138       131       142
       223       135       129       138
       224       115       121       141
       225       114       123       143
       226       130       110       139
       227       116       124       144
       228       117       125       145
       229       135       138       146
       230       138       142       147
       231       127       118       148
       232       120       128       149
       233        98       133       126
       234       134       114       143
       235       136       116       144
       236       132       135       146
       237       121       130       150
       238       137       117       145
       239       147       142       151
       240       123       132       152
       241       138       147       146
       242       139       120       149
       243       124       134       153
       244       118       141       148
       245       140       126       154
       246       125       136       155
       247       133       127       156
       248       147       151       157
