Table of comparison: structured rectangle, structured triangle, analytic
Contains entries for each method in form T/T0

Node      rect      tri       analytic 
1         0         0         0        
2         0         0         0        
3         0         0         0        
4         0         0         0        
5         0         0         0        
6         0         0         0        
7         0         0         0        
8         0         0         0        
9         0         0         0        
10        -0.096719 -0.35729  0.08587  
11        -0.094861 -0.25764  0.08422  
12        -0.089357 -0.17342  0.079334 
13        -0.080419 -0.10518  0.071399 
14        -0.068391 -0.055475 0.06072  
15        -0.053734 -0.023953 0.047707 
16        -0.037013 -0.0075354 0.032861 
17        -0.018869 -0.0012787 0.016752 
18        0         0         5.258e-18
19        -0.19593  -0.44779  0.17506  
20        -0.19217  -0.33869  0.1717   
21        -0.18102  -0.23988  0.16174  
22        -0.16291  -0.15415  0.14556  
23        -0.13854  -0.086881 0.12379  
24        -0.10885  -0.040522 0.097259 
25        -0.07498  -0.01397  0.066993 
26        -0.038224 -0.0026569 0.034153 
27        0         0         1.0719e-17
28        -0.3002   -0.5529   0.27102  
29        -0.29443  -0.43807  0.26582  
30        -0.27735  -0.32625  0.25039  
31        -0.2496   -0.22216  0.22535  
32        -0.21227  -0.13396  0.19164  
33        -0.16678  -0.06767  0.15057  
34        -0.11488  -0.025685 0.10372  
35        -0.058566 -0.0055125 0.052874 
36        0         0         1.6595e-17
37        -0.4122   -0.66334  0.37747  
38        -0.40428  -0.5502   0.37022  
39        -0.38083  -0.43084  0.34874  
40        -0.34273  -0.31109  0.31385  
41        -0.29147  -0.20107  0.26691  
42        -0.22901  -0.11044  0.20971  
43        -0.15774  -0.046463 0.14445  
44        -0.080417 -0.011371 0.073641 
45        0         0         2.3113e-17
46        -0.53484  -0.77201  0.49851  
47        -0.52456  -0.66958  0.48894  
48        -0.49412  -0.55089  0.46057  
49        -0.4447   -0.42173  0.4145   
50        -0.37819  -0.29256  0.3525   
51        -0.29714  -0.17537  0.27696  
52        -0.20467  -0.082419 0.19077  
53        -0.10434  -0.023328 0.097255 
54        0         0         3.0525e-17
55        -0.67126  -0.87021  0.63884  
56        -0.65836  -0.78793  0.62656  
57        -0.62016  -0.68003  0.59021  
58        -0.55813  -0.55127  0.53118  
59        -0.47465  -0.4105   0.45173  
60        -0.37293  -0.26937  0.35492  
61        -0.25688  -0.14265  0.24447  
62        -0.13096  -0.047598 0.12463  
63        0         0         3.9118e-17
64        -0.82499  -0.94888  0.80387  
65        -0.80914  -0.89511  0.78843  
66        -0.7622   -0.80837  0.74268  
67        -0.68596  -0.69202  0.6684   
68        -0.58336  -0.55208  0.56842  
69        -0.45834  -0.39703  0.44661  
70        -0.31571  -0.23903  0.30763  
71        -0.16095  -0.096611 0.15683  
72        0         0         4.9223e-17
73        1         1         1        
74        0.98079   0.98079   0.98079  
75        0.92388   0.92388   0.92388  
76        0.83147   0.83147   0.83147  
77        0.70711   0.70711   0.70711  
78        0.55557   0.55557   0.55557  
79        0.38268   0.38268   0.38268  
80        0.19509   0.19509   0.19509  
81        0         0         6.1232e-17
