Table of comparison: structured rectangle, structured triangle, analytic
Contains entries for each method in form T/T0

Node      rect      tri       analytic 
1         0         0         0        
2         0         0         0        
3         0         0         0        
4         0         0         0        
5         0         0         0        
6         0         0         0        
7         0         0         0        
8         0         0         0        
9         0         0         0        
10        0         0         0        
11        0         0         0        
12        0         0         0        
13        0         0         0        
14        0         0         0        
15        0         0         0        
16        0         0         0        
17        0         0         0        
18        0         0         0        
19        0         0         0        
20        0         0         0        
21        0         0         0        
22        0         0         0        
23        0         0         0        
24        0         0         0        
25        0         0         0        
26        0         0         0        
27        0         0         0        
28        0         0         0        
29        0         0         0        
30        0         0         0        
31        0         0         0        
32        0         0         0        
33        0         0         0        
34        0         0         0        
35        0         0         0        
36        0         0         0        
37        0         0         0        
38        0         0         0        
39        0         0         0        
40        0         0         0        
41        0         0         -0       
42        0         0         0.017069 
43        0         0         0.017055 
44        0         0         0.017016 
45        0         0         0.01695  
46        0         0         0.016858 
47        0         0         0.016741 
48        0         0         0.016597 
49        0         0         0.016428 
50        0         0         0.016233 
51        0         0         0.016014 
52        0         0         0.015769 
53        0         0         0.015501 
54        0         0         0.015208 
55        0         0         0.014892 
56        0         0         0.014553 
57        0         0         0.014192 
58        0         0         0.013809 
59        0         0         0.013404 
60        0         0         0.012979 
61        0         0         0.012534 
62        0         0         0.012069 
63        0         0         0.011586 
64        0         0         0.011085 
65        0         0         0.010567 
66        0         0         0.010033 
67        0         0         0.0094828
68        0         0         0.0089183
69        0         0         0.0083401
70        0         0         0.007749 
71        0         0         0.0071459
72        0         0         0.0065319
73        0         0         0.0059077
74        0         0         0.0052745
75        0         0         0.0046331
76        0         0         0.0039846
77        0         0         0.0033299
78        0         0         0.0026701
79        0         0         0.0020062
80        0         0         0.0013392
81        0         0         0.00067011
82        0         0         -1.0325e-17
83        0         0         0.034164 
84        0         0         0.034137 
85        0         0         0.034058 
86        0         0         0.033927 
87        0         0         0.033743 
88        0         0         0.033507 
89        0         0         0.03322  
90        0         0         0.032881 
91        0         0         0.032491 
92        0         0         0.032052 
93        0         0         0.031563 
94        0         0         0.031025 
95        0         0         0.03044  
