Table of comparison: unstructured triangle vs analytic
Contains entries in form T/T0

Node      triangle  analytic 
254       0.13853   0.13857  
255       0         3.5697e-17
256       0.29792   0.29785  
257       0.15134   0.15136  
258       0.10491   0.10493  
259       0.49562   0.49553  
260       0.15876   0.15871  
261       0.042061  0.042059 
262       0.43415   0.43408  
263       0.13312   0.13318  
264       0.20702   0.20703  
265       0.080435  0.080436 
266       0.15616   0.15622  
267       0.28032   0.28027  
268       0         3.9321e-17
269       0.46581   0.46573  
270       0.11555   0.11556  
271       0.17252   0.17256  
272       0.1888    0.18881  
273       0.3832    0.3832   
274       0.18227   0.18228  
275       0.046151  0.046148 
276       0.18658   0.18662  
277       0.35896   0.35885  
278       0.14724   0.14728  
279       0.5236    0.5235   
280       0.088273  0.088268 
281       0.26243   0.26238  
282       0.17419   0.17426  
283       0         4.3189e-17
284       0.41494   0.4149   
285       0.12682   0.12683  
286       0.33988   0.3398   
287       0.19458   0.19464  
288       0.050489  0.05049  
289       0.20764   0.20765  
290       0.16194   0.16197  
291       0.21411   0.2141   
292       0.44941   0.44935  
293       0.21497   0.21492  
294       0.096659  0.096652 
295       0.24553   0.24545  
296       0.19272   0.19278  
297       0         4.7326e-17
298       0.32133   0.32124  
299       0.13886   0.13885  
300       0.54926   0.54916  
301       0.21729   0.21735  
302       0.054776  0.054789 
303       0.48425   0.48417  
304       0.17744   0.17744  
305       0.23422   0.23425  
306       0.24372   0.2437   
307       0.1055    0.1055   
308       0.21191   0.21195  
309       0.24704   0.24696  
310       0         5.1758e-17
311       0.30059   0.30058  
312       0.39748   0.39742  
313       0.51771   0.51762  
314       0.15174   0.15173  
315       0.24064   0.2407   
316       0.4274    0.42732  
317       0.057397  0.057419 
318       0.38376   0.38375  
319       0.19392   0.19391  
320       0.26176   0.2618   
321       0.57892   0.57881  
322       0.28045   0.28042  
323       0.11403   0.11403  
324       0.27473   0.27473  
325       0.23202   0.23204  
326       0         5.6332e-17
327       0.46268   0.46261  
328       0.28051   0.28049  
329       0.28087   0.28089  
330       0.1654    0.16537  
331       0.36458   0.36451  
332       0.2648    0.26485  
333       0.052368  0.052325 
334       0.21162   0.21158  
335       0.29025   0.2903   
336       0.50005   0.49997  
337       0.1194    0.1193   
338       0.25336   0.25334  
339       0         6.1232e-17
340       0.3071    0.30712  
341       0.34767   0.34758  
342       0.17904   0.17897  
343       0.31576   0.31573  
344       0.60629   0.60618  
345       0.29004   0.29006  
346       0.31759   0.31755  
347       0.078745  0.078745 
348       0.3138    0.31371  
349       0.53724   0.53715  
350       0.23086   0.23081  
351       0.3198    0.31984  
352       0.27643   0.27637  
353       0.4334    0.4333   
354       0.34085   0.34088  
355       0.157     0.157    
356       0.57276   0.57266  
357       0.18914   0.18914  
358       0.31685   0.31683  
359       0.35287   0.35285  
360       0.47306   0.473    
361       0.357     0.35694  
362       0.25288   0.25287  
363       0.40935   0.4093   
364       0.35482   0.35472  
365       0.35072   0.35073  
366       0.63785   0.63773  
367       0.30201   0.30191  
368       0.37609   0.3761   
369       0.51269   0.5126   
370       0.23428   0.23428  
371       0.34659   0.34654  
372       0.38811   0.38805  
373       0.39186   0.39185  
374       0.39867   0.39862  
375       0.38389   0.38385  
376       0.39817   0.39812  
377       0.39252   0.39252  
378       0.55355   0.55346  
379       0.32591   0.32588  
380       0.31011   0.31011  
381       0.41328   0.41328  
382       0.66708   0.66696  
383       0.38351   0.38352  
384       0.4329    0.43288  
385       0.59347   0.59337  
386       0.42124   0.42111  
387       0.44274   0.44269  
388       0.48097   0.48091  
389       0.4441    0.44403  
390       0.45814   0.4581   
391       0.45443   0.45442  
392       0.43868   0.4386   
393       0.38401   0.38401  
394       0.63137   0.63125  
395       0.42777   0.42767  
396       0.52058   0.52042  
397       0.47677   0.47669  
398       0.45715   0.45711  
399       0.48951   0.48945  
400       0.70072   0.7006   
401       0.45553   0.45553  
402       0.49304   0.49295  
403       0.50698   0.50699  
404       0.56545   0.56535  
405       0.48876   0.48863  
406       0.47775   0.47762  
407       0.52607   0.52586  
408       0.53979   0.5397   
409       0.61041   0.61033  
410       0.52421   0.52421  
411       0.5454    0.54534  
412       0.73192   0.73179  
413       0.54242   0.54228  
414       0.58435   0.58427  
415       0.65365   0.65352  
416       0.53294   0.53274  
417       0.51741   0.51727  
418       0.58964   0.58964  
419       0.59451   0.59436  
420       0.69402   0.69386  
421       0.60289   0.60291  
422       0.57186   0.57172  
423       0.60013   0.59999  
424       0.59085   0.5907   
425       0.57921   0.57909  
426       0.76793   0.76784  
427       0.64216   0.64213  
428       0.65141   0.65141  
429       0.62178   0.62174  
430       0.67277   0.67279  
431       0.66424   0.66404  
432       0.65248   0.65231  
433       0.67239   0.67233  
434       0.63807   0.63794  
435       0.62818   0.62805  
436       0.70914   0.70914  
437       0.80087   0.80077  
438       0.71926   0.71904  
439       0.73638   0.7363   
440       0.76246   0.76246  
441       0.71942   0.7192   
442       0.70149   0.70132  
443       0.76061   0.76047  
444       0.67906   0.67896  
445       0.68223   0.6823   
446       0.8399    0.83984  
447       0.78805   0.78792  
448       0.81104   0.81104  
449       0.77161   0.7713   
450       0.74806   0.74783  
451       0.74847   0.74818  
452       0.85459   0.85459  
453       0.83008   0.83002  
454       0.87362   0.87355  
455       0.83775   0.83788  
456       0.78792   0.78777  
457       0.81831   0.81828  
458       0.83044   0.83037  
459       0.89283   0.89283  
460       0.92552   0.92552  
461       0.81729   0.81724  
462       0.9171    0.91707  
463       0.88302   0.88309  
464       0.88725   0.88733  
465       0.85706   0.85695  
466       0.95247   0.95247  
467       0.94769   0.94753  
468       0.9216    0.92154  
469       0.9735    0.9735   
470       0.90313   0.90321  
471       1         1        
472       0.98849   0.98849  
473       0.99712   0.99712  
