Table of comparison: structured rectangle, structured triangle, analytic
Contains entries for each method in form T/T0

Node      rect      tri       analytic 
1         0         0         0        
2         0         0         0        
3         0         0         0        
4         0         0         0        
5         0         0         0        
6         0.19579   0.17652   0.17506  
7         0.18088   0.16309   0.16174  
8         0.13844   0.12482   0.12379  
9         0.074925  0.067552  0.066993 
10        0         0         1.0719e-17
11        0.41197   0.37992   0.37747  
12        0.38061   0.351     0.34874  
13        0.2913    0.26864   0.26691  
14        0.15765   0.14539   0.14445  
15        0         0         2.3113e-17
16        0.67104   0.64115   0.63884  
17        0.61996   0.59235   0.59021  
18        0.4745    0.45336   0.45173  
19        0.2568    0.24536   0.24447  
20        0         0         3.9118e-17
21        1         1         1        
22        0.92388   0.92388   0.92388  
23        0.70711   0.70711   0.70711  
24        0.38268   0.38268   0.38268  
25        0         0         6.1232e-17
