Table of comparison: structured rectangle, structured triangle, analytic
Contains entries for each method in form T/T0

Node      rect      tri       analytic 
181       0.29717   -0.35999  0.27696  
182       0.25215   -0.30545  0.235    
183       0.2047    -0.24797  0.19077  
184       0.15527   -0.1881   0.14471  
185       0.10435   -0.12641  0.097255 
186       0.052429  -0.063512 0.048863 
187       0         0         3.0525e-17
188       0.60117   1.6478    0.56595  
189       0.59828   1.6399    0.56322  
190       0.58962   1.6162    0.55507  
191       0.57529   1.5769    0.54158  
192       0.55541   1.5224    0.52287  
193       0.53019   1.4533    0.49912  
194       0.49986   1.3701    0.47057  
195       0.46471   1.2738    0.43748  
196       0.42509   1.1652    0.40019  
197       0.38138   1.0454    0.35903  
198       0.33399   0.91549   0.31442  
199       0.28339   0.77678   0.26679  
200       0.23006   0.6306    0.21658  
201       0.17451   0.47834   0.16429  
202       0.11728   0.32148   0.11041  
203       0.058925  0.16152   0.055473 
204       0         0         3.4654e-17
205       0.67132   0.76973   0.63884  
206       0.66808   0.76602   0.63576  
207       0.65842   0.75494   0.62656  
208       0.64241   0.73659   0.61133  
209       0.62022   0.71114   0.59021  
210       0.59205   0.67884   0.56341  
211       0.55818   0.64001   0.53118  
212       0.51893   0.59501   0.49383  
213       0.47469   0.54428   0.45173  
214       0.42588   0.48831   0.40528  
215       0.37296   0.42764   0.35492  
216       0.31646   0.36285   0.30115  
217       0.2569    0.29456   0.24447  
218       0.19487   0.22344   0.18545  
219       0.13097   0.15017   0.12463  
220       0.065801  0.075447  0.062617 
221       0         0         3.9118e-17
222       0.74578   -1.591    0.71789  
223       0.74218   -1.5833   0.71444  
224       0.73145   -1.5604   0.7041   
225       0.71366   -1.5224   0.68698  
226       0.68901   -1.4699   0.66325  
227       0.65772   -1.4031   0.63313  
228       0.62009   -1.3228   0.59691  
229       0.57649   -1.2298   0.55494  
230       0.52734   -1.125    0.50763  
231       0.47312   -1.0093   0.45543  
232       0.41433   -0.88389  0.39884  
233       0.35156   -0.74997  0.33841  
234       0.2854    -0.60883  0.27473  
235       0.21649   -0.46183  0.20839  
236       0.14549   -0.31038  0.14005  
237       0.073099  -0.15594  0.070366 
238       0         0         4.3958e-17
239       0.82503   -0.88729  0.80387  
240       0.82106   -0.88302  0.8      
241       0.80918   -0.87024  0.78843  
242       0.7895    -0.84908  0.76926  
243       0.76223   -0.81975  0.74268  
244       0.72761   -0.78252  0.70895  
245       0.68599   -0.73775  0.6684   
246       0.63776   -0.68588  0.6214   
247       0.58338   -0.62741  0.56842  
248       0.52339   -0.56289  0.50997  
249       0.45836   -0.49295  0.44661  
250       0.38892   -0.41826  0.37894  
251       0.31573   -0.33955  0.30763  
252       0.23949   -0.25757  0.23335  
253       0.16096   -0.1731   0.15683  
254       0.080867  -0.086969 0.078793 
255       0         0         4.9223e-17
256       0.90959   1.5254    0.89761  
257       0.90521   1.518     0.89329  
258       0.89211   1.4961    0.88036  
259       0.87042   1.4597    0.85896  
260       0.84035   1.4093    0.82928  
261       0.80219   1.3453    0.79162  
262       0.7563    1.2683    0.74633  
263       0.70312   1.1791    0.69386  
264       0.64318   1.0786    0.6347   
265       0.57704   0.9677    0.56944  
266       0.50534   0.84746   0.49868  
267       0.42878   0.71907   0.42313  
268       0.34809   0.58374   0.3435   
269       0.26404   0.4428    0.26056  
270       0.17745   0.29759   0.17511  
271       0.089155  0.14951   0.087981 
272       0         0         5.4963e-17
273       1         1         1        
274       0.99518   0.99518   0.99518  
275       0.98079   0.98079   0.98079  
276       0.95694   0.95694   0.95694  
277       0.92388   0.92388   0.92388  
278       0.88192   0.88192   0.88192  
279       0.83147   0.83147   0.83147  
280       0.77301   0.77301   0.77301  
281       0.70711   0.70711   0.70711  
282       0.63439   0.63439   0.63439  
283       0.55557   0.55557   0.55557  
284       0.4714    0.4714    0.4714   
285       0.38268   0.38268   0.38268  
286       0.29028   0.29028   0.29028  
287       0.19509   0.19509   0.19509  
288       0.098017  0.098017  0.098017 
289       0         0         6.1232e-17
